10:00-11:30,,,,Fitness mit Kampfsport (alle Altersgruppen)**
15:00-15:45,,,Taekwondo Technik - ab 5 Jahre,
16:15-17:00,Taekwondo Formen - ab 5 Jahre,Taekwondo Technik - ab 5 Jahre,Taekwondo - Wettkampf - ab 5 Jahre,
17:00-17:45,Taekwondo Formen - ab 10 Jahre,Taekwondo Technik - ab 10 Jahre,Taekwondo - Wettkampf - ab 8 Jahre,
17:45-18:30,Taekwondo Formen - Wettkampf,Taekwondo - Wettkampf - ab 16 Jahre,Taekwondo - Wettkampf - ab 16 Jahre,
18:45-19:30,, Taekwondo/Selbstverteidigung ab 16 Jahre, Kickboxen ab 16 Jahre
19:30-20:15,,,Grappling/BJJ ab 16 Jahre,
