10:00-11:30,,,,Fitness mit Kampfsport (alle Altersgruppen)
15:00-15:45,,,Bewegungsförderung,
15:45-16:30,,Taekwondo ab 5 Jahre,Taekwondo ab 5 Jahre,
16:30-17:15,,Taekwondo ab 8 Jahre,Taekwondo ab 8 Jahre,
17:15-18:00,Taekwondo Formen -Anfänger, Taekwondo - Wettkampf, Taekwondo - Wettkampf,
18:00-18:45, Taekwondo Formen - Fortgeschritten, Taekwondo/Selbstverteidigung ab 16 Jahre, Kickboxen ab 16 Jahre
19:00-20:00,,,Grappling/BJJ ab 16 Jahre,
